#Input, nodes, System, config, TOTAL, str, nl, field, shear, coll, str_mem, str_comm, nl_mem, nl_comm, field_com, coll_mem, coll_comm, io
bg03n, 32, Stampede3_CPU_Intel_Max, t6_cpu8, 89.8, 14.33, 29.53, 4.12, 5.82, 0.93, 0.17, 3.14, 2.17, 15.48, 7.23, 0.08, 6.43, 0.21
bg03n, 4, Frontier_GPU_AMD, t12_gpu2, 49.8, 8.66, 19.71, 0.97, 0.47, 0.71, 0.09, 1.93, 1.76, 5.92, 3.29, 0.14, 4.75, 1.37
bg03n, 4, Perlmutter_GPU_NVIDIA_40G, t12_gpu2, 59.9, 6.77, 22.75, 1.20, 1.45, 0.34, 0.12, 6.00, 2.05, 7.26, 3.37, 0.23, 7.19, 1.14
bg03n, 4, Perlmutter_GPU_NVIDIA_80G, t12_gpu2, 54.7, 5.96, 20.23, 1.05, 1.16, 0.35, 0.09, 6.42, 1.72, 6.66, 3.12, 0.25, 6.50, 1.15
bg03n, 4, Stampede3_GPU_Intel_Max, t12_gpu2, 101.0, 7.18, 36.41, 2.79, 0.70, 0.46, 0.10, 2.91, 3.13, 6.32, 8.63, 0.09, 31.39, 0.73
bg04n, 32, Stampede3_CPU_Intel_Max, t12_cpu8, 129.3, 13.56, 48.27, 6.63, 5.42, 0.78, 0.15, 6.98, 2.35, 14.48, 22.38, 0.07, 7.91, 0.19
bg04n, 4, Frontier_GPU_AMD, t24_gpu2, 56.7, 8.26, 27.22, 1.29, 0.40, 0.57, 0.08, 2.44, 1.82, 4.59, 5.75, 0.21, 2.88, 1.22
bg04n, 4, Perlmutter_GPU_NVIDIA_40G, t24_gpu2, 66.1, 5.84, 27.39, 1.75, 0.75, 0.25, 0.11, 7.32, 1.69, 7.13, 6.28, 0.34, 6.12, 1.01
bg04n, 4, Perlmutter_GPU_NVIDIA_80G, t24_gpu2, 59.8, 5.12, 23.71, 1.44, 0.69, 0.23, 0.08, 6.26, 1.46, 6.54, 5.75, 0.34, 7.08, 0.98
bg04n, 4, Stampede3_GPU_Intel_Max, t24_gpu2, 113.2, 6.75, 42.50, 2.88, 0.63, 0.37, 0.09, 4.09, 2.82, 5.47, 16.41, 0.08, 30.33, 0.68
